study_ID,study_ref,latitude,longitude,date1,date2,event
1,Blanco et al. (2020),39.01,-76.82,04/06/2019,02/07/2019,sowing
1,Blanco et al. (2020),39.01,-76.82,04/06/2019,02/07/2019,sowing
1,Blanco et al. (2020),39.01,-76.82,04/06/2019,02/07/2019,sowing
2,Blettler et al. (2018),-31.9,-60.31,05/11/2010,02/11/2011,sowing
2,Blettler et al. (2018),-31.9,-60.31,05/11/2010,02/11/2011,sowing
2,Blettler et al. (2018),-31.9,-60.31,05/11/2010,02/11/2011,sowing
2,Blettler et al. (2018),-31.9,-60.31,05/11/2010,02/11/2011,sowing
2,Blettler et al. (2018),-31.9,-60.31,05/11/2010,02/11/2011,sowing
2,Blettler et al. (2018),-31.9,-60.31,05/11/2010,02/11/2011,sowing
3,Carrasco et al. (unpublished),-27.12,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-27.12,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-27.12,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.99,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.99,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.99,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.94,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.94,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.94,-64.4,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.82,-64.3,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.82,-64.3,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.82,-64.3,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,30/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,21/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.71,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.35,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.35,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.35,-64.2,27/02/2018,,flowering
3,Carrasco et al. (unpublished),-26.35,-64.2,25/01/2017,,flowering
3,Carrasco et al. (unpublished),-26.35,-64.2,16/02/2016,,flowering
3,Carrasco et al. (unpublished),-26.35,-64.2,25/02/2016,,flowering
